accession	strain
KU887775	C5-029-2006_Vietnam:KienGiang_2006-03-15
KU887776	C4-032TS-2012_Vietnam:AnGiang_2011-12-23
KU887777	B5-038P-2013_Vietnam:TienGiang_2013-01-14
KU887778	C5-040S-2009_Vietnam:HoChiMinh_2009-04-27
KU887779	C4-041-2006_Vietnam:NinhThuan_2006-03-15
KU887780	C5-041TS-2009_Vietnam:HoChiMinh_2009-04-27
KU887781	B5-042P-2013_Vietnam:VinhLong_2013-01-14
KU887782	C4-046S-2012_Vietnam:DongNai_2012-01-03
KU887783	C5-046TS-2009_Vietnam:HoChiMinh_2009-05-03
KU887784	C5-048-2006_Vietnam:NinhThuan_2006-03-15
KU887785	C4-048TS-2012_Vietnam:NinhThuan_2012-01-02
KU887786	C5-050TS-2009_Vietnam:LongAn_2009-04-30
KU887787	C5-051S-2009_Vietnam:TienGiang_2009-06-30
KU887788	C5-054TS-2009_Vietnam:BaRia_2009-05-04
KU887789	C5-072-2006_Vietnam:KienGiang_2006-03-15
KU887790	C5-073-2006_Vietnam:KienGiang_2006-03-15
KU887791	C5-073S-2009_Vietnam:TraVinh_2009-05-20
KU887792	C5-076-2006_Vietnam:KienGiang_2006-03-15
KU887793	C5-077-2006_Vietnam:KienGiang_2006-03-15
KU887794	C5-081-2006_Vietnam:KienGiang_2006-03-15
KU887795	C5-083-2006_Vietnam:KienGiang_2006-03-15
KU887796	C5-088S-2009_Vietnam:HoChiMinh_2009-05-31
KU887797	C5-089S-2012_Vietnam:DongNai_2012-01-06
KU887798	C5-091TS-2009_Vietnam:HoChiMinh_2009-05-27
KU887799	C5-092TS-2009_Vietnam:DongNai_2009-05-31
KU887800	C5-097-2006_Vietnam:NinhThuan_2006-03-15
KU887801	C5-097TS-2009_Vietnam:HoChiMinh_2009-06-04
KU887802	C5-098TS-2009_Vietnam:HoChiMinh_2009-06-04
KU887803	C5-099-2006_Vietnam:NinhThuan_2006-03-15
KU887804	C5-099S-2008_Vietnam:CanTho_2008-06-10
KU887805	C4-1004TS-2011_Vietnam:DongNai_2011-08-17
KU887806	C4-100TS-2012_Vietnam:BinhDuong_2012-01-12
KU887807	C5-101S-2009_Vietnam:HoChiMinh_2009-06-09
KU887808	C4-1030TS-2011_Vietnam:BenTre_2011-08-15
KU887809	C4-1032TS-2011_Vietnam:LongAn_2011-08-15
KU887810	C5-103S-2009_Vietnam:BinhDuong_2009-06-22
KU887811	C4-105TS-2011_Vietnam:LongAn_2011-05-26
KU887812	C4-1064TS-2011_Vietnam:HoChiMinh_2011-08-19
KU887813	B5-107P-2013_Vietnam:TienGiang_2013-02-24
KU887814	C5-107TS-2009_Vietnam:HoChiMinh_2009-07-03
KU887815	C4-1082TS-2011_Vietnam:HoChiMinh_2011-08-22
KU887816	C4-1086TS-2011_Vietnam:HoChiMinh_2011-08-22
KU887817	C4-108S-2012_Vietnam:DongNai_2012-01-16
KU887818	C4-108TS-2011_Vietnam:HoChiMinh_2011-05-26
KU887819	C5-109S-2009_Vietnam:HoChiMinh_2009-07-07
KU887820	C5-10S-2008_Vietnam:DongNai_2008-03-15
KU887821	C4-1107S-2011_Vietnam:DongNai_2011-08-25
KU887822	C5-110S-2009_Vietnam:HoChiMinh_2009-07-08
KU887823	C4-110S-2012_Vietnam:HoChiMinh_2012-01-15
KU887824	C5-111-2006_Vietnam:NinhThuan_2006-03-15
KU887825	C4-1112TS-2011_Vietnam:DongNai_2011-08-23
KU887826	C4-1115TS-2011_Vietnam:HoChiMinh_2011-08-24
KU887827	C5-111S-2009_Vietnam:BinhDuong_2009-07-08
KU887828	C5-112-2006_Vietnam:KienGiang_2006-03-15
KU887829	C5-112S-2011_Vietnam:BinhDuong_2011-05-26
KU887830	C4-114S-2011_Vietnam:HoChiMinh_2011-05-26
KU887831	C4-1154TS-2011_Vietnam:DongNai_2011-08-29
KU887832	C5-116S-2009_Vietnam:HoChiMinh_2009-12-06
KU887833	C4-116S-2011_Vietnam:HoChiMinh_2011-05-26
KU887834	C4-116S-2012_Vietnam:CanTho_2012-01-24
KU887835	C4-117TS-2011_Vietnam:HoChiMinh_2011-05-25
KU887836	C4-1183TS-2011_Vietnam:TienGiang_2011-09-01
KU887837	C4-1188TS-2011_Vietnam:HoChiMinh_2011-08-23
KU887838	C4-1189TS-2011_Vietnam:LongAn_2011-08-24
KU887839	B5-118P-2013_Vietnam:BenTre_2013-02-27
KU887840	C4-1190TS-2011_Vietnam:HoChiMinh_2011-08-24
KU887841	C5-120S-2009_Vietnam:BinhDuong_2009-12-06
KU887842	C4-1214S-2011_Vietnam:DongNai_2011-09-01
KU887843	C4-1215TS-2011_Vietnam:BaRia_2011-09-01
KU887844	C4-1219TS-2011_Vietnam:LongAn_2011-09-04
KU887845	C5-122S-2009_Vietnam:BinhDuong_2009-12-06
KU887846	C4-123TS-2011_Vietnam:HoChiMinh_2011-05-30
KU887847	C4-125TS-2012_Vietnam:CanTho_2012-01-22
KU887848	C5-126-2007_Vietnam:AnGiang_2007-12-07
KU887849	C4-1270S-2011_Vietnam:HoChiMinh_2011-09-07
KU887850	C4-1270TS-2011_Vietnam:HoChiMinh_2011-09-07
KU887851	B5-127P-2013_Vietnam:VinhLong_2013-03-14
KU887852	C4-1283TS-2011_Vietnam:TayNinh_2011-08-31
KU887853	C4-128P-2013_Vietnam:VinhLong_2013-03-14
KU887854	C5-129-2007_Vietnam:HauGiang_2007-12-07
KU887855	C4-1298TS-2011_Vietnam:BinhDuong_2011-09-09
KU887856	C4-129P-2013_Vietnam:VinhLong_2013-03-14
KU887857	C4-129TS-2011_Vietnam:HoChiMinh_2011-05-30
KU887858	C4-1300TS-2011_Vietnam:HoChiMinh_2011-09-10
KU887859	C4-1303TS-2011_Vietnam:TienGiang_2011-09-03
KU887860	C4-130TS-2011_Vietnam:HoChiMinh_2011-05-30
KU887861	C5-132-2006_Vietnam:KienGiang_2006-03-15
KU887862	C4-132S-2012_Vietnam:DongNai_2012-01-19
KU887863	C5-133-2006_Vietnam:KienGiang_2006-03-15
KU887864	C5-1337TS-2011_Vietnam:GiaLai_2011-08-29
KU887865	C4-133S-2012_Vietnam:DongNai_2012-01-19
KU887866	C4-133TS-2011_Vietnam:TienGiang_2011-05-27
KU887867	C4-1349S-2011_Vietnam:KonTum_2011-08-17
KU887868	C5-136-2006_Vietnam:KienGiang_2006-03-15
KU887869	B5-136P-2013_Vietnam:BenTre_2013-03-18
KU887870	C4-1374TS-2011_Vietnam:DongNai_2011-09-05
KU887871	C4-1375TS-2011_Vietnam:BinhPhuoc_2011-09-08
KU887872	C4-1376TS-2011_Vietnam:TayNinh_2011-09-08
KU887873	C4-1377TS-2011_Vietnam:TayNinh_2011-09-08
KU887874	C4-1385TS-2011_Vietnam:DongThap_2011-09-12
KU887875	C4-1388TS-2011_Vietnam:AnGiang_2011-09-14
KU887876	C4-1391TS-2011_Vietnam:HoChiMinh_2011-09-15
KU887877	C5-140-2006_Vietnam:PhuYen_2006-03-15
KU887878	B5-142P-2013_Vietnam:VinhLong_2013-03-18
KU887879	C4-1486TS-2011_Vietnam:AnGiang_2011-09-26
KU887880	C4-149TS-2011_Vietnam:HoChiMinh_2011-05-31
KU887881	C4-150TS-2011_Vietnam:TienGiang_2011-05-31
KU887882	C4-152TS-2011_Vietnam:HoChiMinh_2011-05-31
KU887883	C5-153TS-2003_Vietnam:TayNinh_2003-06-15
KU887884	C4-153TS-2011_Vietnam:TayNinh_2011-05-31
KU887885	C4-1545S-2011_Vietnam:CanTho_2011-10-02
KU887886	C4-156TS-2011_Vietnam:BacLieu_2011-05-31
KU887887	C5-158TS-2011_Vietnam:DongThap_2011-06-01
KU887888	C5-15S-2008_Vietnam:BinhDuong_2008-04-15
KU887889	C5-16-2007_Vietnam:NinhThuan_2007-02-02
KU887890	C4-1612TS-2011_Vietnam:DongNai_2011-10-07
KU887891	C4-163TS-2011_Vietnam:HoChiMinh_2011-06-01
KU887892	C4-1679S-2011_Vietnam:DongNai_2011-10-13
KU887893	C4-167TS-2012_Vietnam:AnGiang_2012-02-06
KU887894	C5-171-2006_Vietnam:HoChiMinh_2006-04-15
KU887895	C4-171TS-2011_Vietnam:HoChiMinh_2011-06-02
KU887896	C5-172-2006_Vietnam:CanTho_2006-04-15
KU887897	C4-1722TS-2011_Vietnam:BacLieu_2011-10-17
KU887898	C4-1728S-2011_Vietnam:LongAn_2011-10-18
KU887899	C4-1738TS-2011_Vietnam:DakLak_2011-10-07
KU887900	C4-1741TS-2011_Vietnam:BinhPhuoc_2011-10-06
KU887901	C4-1742TS-2011_Vietnam:BinhPhuoc_2011-10-06
KU887902	C4-1749TS-2011_Vietnam:BinhThuan_2011-10-04
KU887903	C4-1762TS-2011_Vietnam:DongThap_2011-10-07
KU887904	C5-1763TS-2011_Vietnam:AnGiang_2011-10-07
KU887905	C4-1764TS-2011_Vietnam:LongAn_2011-10-10
KU887906	C4-1767TS-2011_Vietnam:TienGiang_2011-10-10
KU887907	C4-1770TS-2011_Vietnam:TienGiang_2011-10-11
KU887908	C4-1792TS-2011_Vietnam:LongAn_2011-10-16
KU887909	C5-18-2007_Vietnam:KhanhHoa_2007-01-03
KU887910	C4-1800TS-2011_Vietnam:DongThap_2011-10-19
KU887911	C4-1804TS-2011_Vietnam:SocTrang_2011-10-20
KU887912	C5-181S-2008_Vietnam:TayNinh_2008-11-27
KU887913	C4-183TS-2011_Vietnam:TienGiang_2011-06-02
KU887914	C5-184-2006_Vietnam:DongThap_2006-04-15
KU887915	C5-185S-2011_Vietnam:DongThap_2011-06-01
KU887916	C4-1868S-2011_Vietnam:BinhDuong_2011-10-28
KU887917	C4-189TS-2011_Vietnam:HoChiMinh_2011-06-05
KU887918	C4-18S-2012_Vietnam:CanTho_2011-12-30
KU887919	C4-1905TS-2011_Vietnam:AnGiang_2011-10-31
KU887920	C4-1907TS-2011_Vietnam:CaMau_2011-11-01
KU887921	C4-193TS-2011_Vietnam:HoChiMinh_2011-06-06
KU887922	C4-1941TS-2011_Vietnam:DongThap_2011-10-25
KU887923	C5-198TS-2010_Vietnam:BinhDuong_2010-02-23
KU887924	C4-200S-2011_Vietnam:BinhDuong_2011-06-04
KU887925	C4-202TS-2011_Vietnam:BaRia_2011-06-05
KU887926	C4-2047TS-2011_Vietnam:DongNai_2011-11-15
KU887927	C4-204TS-2011_Vietnam:LongAn_2011-06-07
KU887928	C4-206TS-2011_Vietnam:HoChiMinh_2011-06-07
KU887929	C4-207TS-2011_Vietnam:HoChiMinh_2011-06-07
KU887930	C4-208TS-2011_Vietnam:HoChiMinh_2011-06-07
KU887931	C5-209-2006_Vietnam:KienGiang_2006-04-15
KU887932	B5-209P-2013_Vietnam:TienGiang_2013-04-24
KU887933	C5-209S-2010_Vietnam:HoChiMinh_2010-03-04
KU887934	C4-214TS-2011_Vietnam:HoChiMinh_2011-06-08
KU887935	C5-218TS-2011_Vietnam:TienGiang_2011-06-09
KU887936	C4-219TS-2011_Vietnam:BinhDuong_2011-06-08
KU887937	C4-223TS-2011_Vietnam:HoChiMinh_2011-06-10
KU887938	C5-224TS-2012_Vietnam:CanTho_2012-03-24
KU887939	C4-226TS-2011_Vietnam:LongAn_2011-06-10
KU887940	B5-228P-2013_Vietnam:TienGiang_2013-05-05
KU887941	C4-228TS-2011_Vietnam:HoChiMinh_2011-06-13
KU887942	C4-229TS-2011_Vietnam:HoChiMinh_2011-06-13
KU887943	B5-230P-2013_Vietnam:TienGiang_2013-05-01
KU887944	C5-234-2006_Vietnam:KhanhHoa_2006-04-15
KU887945	C4-234TS-2012_Vietnam:BinhPhuoc_2012-03-22
KU887946	C4-235TS-2011_Vietnam:BinhDuong_2011-06-14
KU887947	C4-235TS-2012_Vietnam:BinhPhuoc_2012-03-25
KU887948	B5-236P-2013_Vietnam:TienGiang_2013-04-26
KU887949	C4-236TS-2012_Vietnam:TayNinh_2012-03-26
KU887950	C4-238TS-2011_Vietnam:TienGiang_2011-06-14
KU887951	C4-239TS-2011_Vietnam:HoChiMinh_2011-06-15
KU887952	B5-241P-2013_Vietnam:BenTre_2013-05-03
KU887953	C4-242TS-2011_Vietnam:HoChiMinh_2011-06-14
KU887954	C4-242TS-2012_Vietnam:HoChiMinh_2012-03-31
KU887955	C5-244-2006_Vietnam:BinhThuan_2006-04-15
KU887956	C4-245TS-2011_Vietnam:HoChiMinh_2011-06-15
KU887957	C5-247-2006_Vietnam:KienGiang_2006-04-15
KU887958	C4-2476TS-2011_Vietnam:HauGiang_2011-12-21
KU887959	C4-248S-2011_Vietnam:DongNai_2011-06-15
KU887960	C5-249-2006_Vietnam:KienGiang_2006-04-15
KU887961	B5-257TS-2011_Vietnam:VinhLong_2011-06-16
KU887962	C4-259S-2011_Vietnam:DongNai_2011-06-11
KU887963	C4-259TS-2005_Vietnam:DongNai_2005-05-01
KU887964	C5-260N-2013_Vietnam:BaRia_2013-04-26
KU887965	C5-264S-2010_Vietnam:BaRia_2010-03-28
KU887966	C4-264TS-2011_Vietnam:BaRia_2011-06-16
KU887967	B5-269P-2013_Vietnam:AnGiang_2013-05-13
KU887968	C5-26S-2007_Vietnam:DakNong_2007-06-15
KU887969	C5-274TS-2010_Vietnam:DongNai_2010-04-02
KU887970	C5-275TS-2011_Vietnam:DongThap_2011-06-14
KU887971	C5-276S-2003_Vietnam:TienGiang_2003-08-15
KU887972	C5-276S-2011_Vietnam:DongThap_2011-06-17
KU887973	C4-277TS-2011_Vietnam:DongThap_2011-06-17
KU887974	B5-278N-2013_Vietnam:HoChiMinh_2013-05-16
KU887975	C4-279S-2012_Vietnam:CanTho_2012-04-12
KU887976	C5-27S-2007_Vietnam:HoChiMinh_2007-06-15
KU887977	C4-27S-2011_Vietnam:HoChiMinh_2011-04-15
KU887978	C4-280-2006_Vietnam:DaNang_2006-05-15
KU887979	C5-283TS-2011_Vietnam:TienGiang_2011-06-20
KU887980	C4-284TS-2011_Vietnam:BinhDuong_2011-06-20
KU887981	C4-285S-2011_Vietnam:HoChiMinh_2011-06-20
KU887982	C5-288S-2003_Vietnam:HoChiMinh_2003-08-15
KU887983	C4-288TS-2011_Vietnam:HoChiMinh_2011-06-19
KU887984	C4-288TS-2012_Vietnam:AnGiang_2012-04-13
KU887985	C5-288VS-2003_Vietnam:HoChiMinh_2003-08-15
KU887986	C5-289VS-2003_Vietnam:TayNinh_2003-08-15
KU887987	C5-28S-2007_Vietnam:DongNai_2007-06-15
KU887988	C5-28S-2008_Vietnam:DongNai_2008-05-15
KU887989	C4-28TS-2011_Vietnam:HoChiMinh_2011-04-21
KU887990	C5-290TS-2011_Vietnam:HoChiMinh_2011-06-22
KU887991	C5-291TS-2010_Vietnam:BinhDuong_2010-04-09
KU887992	C5-29S-2011_Vietnam:HoChiMinh_2011-04-21
KU887993	C4-301TS-2011_Vietnam:BaRia_2011-06-21
KU887994	B5-302P-2013_Vietnam:VinhLong_2013-05-15
KU887995	C4-303TS-2011_Vietnam:HoChiMinh_2011-06-23
KU887996	B5-304P-2013_Vietnam:VinhLong_2013-05-21
KU887997	C4-308TS-2011_Vietnam:TienGiang_2011-06-21
KU887998	C4-30S-2011_Vietnam:HoChiMinh_2011-04-21
KU887999	C5-310S-2010_Vietnam:HoChiMinh_2010-04-15
KU888000	C4-310TS-2011_Vietnam:HoChiMinh_2011-06-22
KU888001	C4-318TS-2011_Vietnam:DongNai_2011-06-23
KU888002	C4-31S-2011_Vietnam:HoChiMinh_2011-04-21
KU888003	C5-324S-2005_Vietnam:HoChiMinh_2005-09-11
KU888004	C4-326TS-2011_Vietnam:HoChiMinh_2011-06-24
KU888005	C4-328TS-2011_Vietnam:DongNai_2011-06-23
KU888006	C5-331S-2005_Vietnam:HoChiMinh_2005-09-22
KU888007	C4-332TS-2011_Vietnam:HoChiMinh_2011-06-25
KU888008	C4-334TS-2011_Vietnam:CanThao_2011-06-27
KU888009	C5-337S-2010_Vietnam:HoChiMinh_2010-04-22
KU888010	C5-339TS-2005_Vietnam:HoChiMinh_2005-09-28
KU888011	C4-339TS-2011_Vietnam:HoChiMinh_2011-06-27
KU888012	C4-341TS-2012_Vietnam:AnGiang_2012-04-28
KU888013	C5-344S-2010_Vietnam:BinhPhuoc_2010-04-22
KU888014	C5-345S-2003_Vietnam:HoChiMinh_2003-09-15
KU888015	C5-345S-2005_Vietnam:HoChiMinh_2005-10-05
KU888016	C4-345TS-2011_Vietnam:BaRia_2011-06-28
KU888017	C5-345VS-2003_Vietnam:HoChiMinh_2003-09-15
KU888018	C5-346S-2005_Vietnam:HoChiMinh_2005-10-05
KU888019	C4-346TS-2011_Vietnam:LongAn_2011-06-26
KU888020	C4-34S-2011_Vietnam:HoChiMinh_2011-04-25
KU888021	C5-350S-2010_Vietnam:DongNai_2010-04-24
KU888022	C5-352S-2003_Vietnam:BinhThuan_2003-09-15
KU888023	C5-353S-2003_Vietnam:HoChiMinh_2003-09-15
KU888024	C5-354S-2003_Vietnam:LongAn_2003-09-15
KU888025	C4-354TS-2012_Vietnam:TienGiang_2012-04-26
KU888026	C5-355S-2003_Vietnam:HoChiMinh_2003-09-15
KU888027	C5-357S-2003_Vietnam:HoChiMinh_2003-09-15
KU888028	C5-357VS-2003_Vietnam:HoChiMinh_2003-09-15
KU888029	B5-362S-2012_Vietnam:BenTre_2012-05-08
KU888030	C4-363S-2011_Vietnam:DongThap_2011-06-30
KU888031	C5-364S-2010_Vietnam:BinhDuong_2010-05-06
KU888032	C4-368CSF-2011_Vietnam:DongNai_2011-06-30
KU888033	C4-371S-2011_Vietnam:DongNai_2011-06-29
KU888034	C5-374S-2003_Vietnam:HoChiMinh_2003-09-15
KU888035	C5-374TS-2003_Vietnam:HoChiMinh_2003-09-15
KU888036	C5-374VS-2003_Vietnam:HoChiMinh_2003-09-15
KU888037	B5-378P-2013_Vietnam:TienGiang_2013-06-07
KU888038	B5-379P-2013_Vietnam:BenTre_2013-06-07
KU888039	C4-379S-2012_Vietnam:AnGiang_2012-05-04
KU888040	B5-384P-2013_Vietnam:BenTre_2013-05-24
KU888041	C5-38S-2007_Vietnam:BinhDuong_2007-07-15
KU888042	C4-38S-2011_Vietnam:BinhDuong_2011-04-28
KU888043	C4-397TS-2012_Vietnam:LongAn_2012-05-28
KU888044	C4-398S-2011_Vietnam:CaMau_2011-07-05
KU888045	C4-39TS-2012_Vietnam:DongNai_2011-12-28
KU888046	C5-403S-2010_Vietnam:DongNai_2010-05-13
KU888047	B5-405P-2013_Vietnam:VinhLong_2013-06-18
KU888048	C4-405S-2011_Vietnam:BinhDuong_2011-07-05
KU888049	B5-406P-2013_Vietnam:VinhLong_2013-06-12
KU888050	C5-413S-2010_Vietnam:BinhPhuoc_2010-05-18
KU888051	C5-413S-2011_Vietnam:VinhLong_2011-07-06
KU888052	C5-42S-2007_Vietnam:DakNong_2007-07-15
KU888053	C5-42S-2008_Vietnam:HoChiMinh_2008-05-15
KU888054	B5-439P-2013_Vietnam:TienGiang_2013-06-24
KU888055	C4-444TS-2011_Vietnam:BenTre_2011-07-04
KU888056	C4-445TS-2011_Vietnam:HoChiMinh_2011-07-04
KU888057	C4-446S-2011_Vietnam:BaRia_2011-07-04
KU888058	C5-450TS-2010_Vietnam:BaRia_2010-05-25
KU888059	B5-456P-2013_Vietnam:TienGiang_2013-07-02
KU888060	C5-457TS-2010_Vietnam:HoChiMinh_2010-05-27
KU888061	C5-45S-2007_Vietnam:DongNai_2007-07-15
KU888062	C4-45S-2011_Vietnam:DongNai_2011-05-07
KU888063	B5-463N-2013_Vietnam:LongAn_2013-06-24
KU888064	C4-468S-2011_Vietnam:BinhDuong_2011-07-09
KU888065	C5-472S-2010_Vietnam:DongNai_2010-05-30
KU888066	C4-476TS-2012_Vietnam:TienGiang_2012-06-14
KU888067	C5-47S-2008_Vietnam:HoChiMinh_2008-05-15
KU888068	C4-486TS-2011_Vietnam:BaRia_2011-07-09
KU888069	C4-504TS-2011_Vietnam:DongNai_2011-07-11
KU888070	C4-505TS-2011_Vietnam:HoChiMinh_2011-07-11
KU888071	C5-51TS-2008_Vietnam:DongNai_2008-05-15
KU888072	B5-527P-2013_Vietnam:DongThap_2013-08-23
KU888073	B5-530P-2013_Vietnam:VinhLong_2013-08-26
KU888074	B5-535P-2013_Vietnam:AnGiang_2013-08-28
KU888075	C4-535TS-2011_Vietnam:HoChiMinh_2011-07-15
KU888076	C5-5374TS-2005_Vietnam:HoChiMinh_2005-10-27
KU888077	C4-537TS-2011_Vietnam:DongNai_2011-07-14
KU888078	C5-53S-2008_Vietnam:HoChiMinh_2008-05-15
KU888079	B5-542N-2013_Vietnam:BaRia_2013-08-27
KU888080	C4-5540V-2005_Vietnam:HoChiMinh_2005-03-10
KU888081	C5-558S-2004_Vietnam:BenTre_2004-05-11
KU888082	C4-560TS-2011_Vietnam:DaNang_2011-07-13
KU888083	C4-568TS-2011_Vietnam:HoChiMinh_2011-07-15
KU888084	C4-569TS-2011_Vietnam:HoChiMinh_2011-07-15
KU888085	C5-56S-2007_Vietnam:DongNai_2007-09-15
KU888086	C5-56S-2011_Vietnam:DongThap_2011-05-12
KU888087	C4-5718S-2005_Vietnam:HoChiMinh_2005-05-09
KU888088	C4-5728S-2005_Vietnam:HoChiMinh_2005-05-16
KU888089	C1-5730S-2005_Vietnam:TayNinh_2005-05-16
KU888090	B5-542N-2013_Vietnam:BaRia_2013-09-06
KU888091	B5-576P-2013_Vietnam:VinhLong_2013-09-16
KU888092	C1-5777S-2005_Vietnam:HoChiMinh_2005-06-17
KU888093	B5-580P-2013_Vietnam:VinhLong_2013-09-20
KU888094	C5-586TS-2010_Vietnam:KienGiang_2010-07-22
KU888095	B5-588N-2013_Vietnam:LongAn_2013-09-29
KU888096	C5-58V-2007_Vietnam:DongNai_2007-09-15
KU888097	C4-595S-2004_Vietnam:HoChiMinh_2004-06-26
KU888098	B5-598P-2013_Vietnam:AnGiang_2013-09-23
KU888099	C5-59S-2007_Vietnam:DongNai_2007-09-15
KU888100	C5-603TS-2010_Vietnam:HoChiMinh_2010-07-31
KU888101	C5-605S-2004_Vietnam:HoChiMinh_2004-07-22
KU888102	C5-606S-2004_Vietnam:AnGiang_2004-07-19
KU888103	B5-607N-2013_Vietnam:BaRia_2013-10-04
KU888104	B5-611P-2013_Vietnam:BenTre_2013-10-07
KU888105	C4-614TS-2011_Vietnam:HoChiMinh_2011-07-18
KU888106	C4-619TS-2011_Vietnam:BacLieu_2011-07-19
KU888107	C5-61S-2007_Vietnam:DongNai_2007-09-15
KU888108	B5-622P-2013_Vietnam:AnGiang_2013-10-02
KU888109	C5-62TS-2007_Vietnam:DongNai_2007-09-15
KU888110	B5-634P-2013_Vietnam:VinhLong_2013-10-23
KU888111	C4-636S-2004_Vietnam:HoChiMinh_2004-09-11
KU888112	C5-638S-2004_Vietnam:HoChiMinh_2004-09-16
KU888113	C4-639S-2004_Vietnam:HoChiMinh_2004-09-14
KU888114	C4-63N-2013_Vietnam:LongAn_2013-01-27
KU888115	C4-647S-2004_Vietnam:TienGiang_2004-11-04
KU888116	C4-648S-2004_Vietnam:HoChiMinh_2004-11-03
KU888117	C5-651S-2004_Vietnam:HoChiMinh_2004-11-11
KU888118	C5-656S-2004_Vietnam:DongNai_2004-11-28
KU888119	C5-658S-2004_Vietnam:DongNai_2004-12-03
KU888120	C5-65S-2007_Vietnam:AnGiang_2007-10-15
KU888121	C4-65S-2011_Vietnam:DongNai_2011-05-18
KU888122	C4-660S-2004_Vietnam:HoChiMinh_2004-12-08
KU888123	B5-664P-2013_Vietnam:AnGiang_2013-10-23
KU888124	C4-665S-2011_Vietnam:DongNai_2011-07-20
KU888125	C5-667S-2004_Vietnam:BenTre_2004-12-11
KU888126	B5-668P-2013_Vietnam:AnGiang_2013-11-03
KU888127	C5-669S-2004_Vietnam:TienGiang_2004-12-12
KU888128	B5-673P-2013_Vietnam:VinhLong_2013-11-15
KU888129	C4-673S-2004_Vietnam:VinhLong_2005-01-12
KU888130	B5-675P-2013_Vietnam:VinhLong_2013-11-12
KU888131	B5-680P-2013_Vietnam:AnGiang_2013-11-18
KU888132	B5-682P-2013_Vietnam:AnGiang_2013-11-17
KU888133	C5-68S-2007_Vietnam:DongNai_2007-10-15
KU888134	C5-69TS-2008_Vietnam:HoChiMinh_2008-06-15
KU888135	C5-6V-2008_Vietnam:LamDong_2008-01-15
KU888136	B5-701P-2013_Vietnam:VinhLong_2013-11-26
KU888137	C4-701TS-2011_Vietnam:HoChiMinh_2011-07-25
KU888138	B5-702P-2013_Vietnam:VinhLong_2013-11-26
KU888139	B5-703P-2013_Vietnam:VinhLong_2013-11-26
KU888140	B5-705P-2013_Vietnam:VinhLong_2013-11-27
KU888141	B5-710S-2012_Vietnam:AnGiang_2012-08-21
KU888142	B5-713P-2013_Vietnam:AnGiang_2013-11-30
KU888143	B5-714P-2013_Vietnam:AnGiang_2013-12-02
KU888144	C5-71S-2007_Vietnam:DongNai_2007-10-15
KU888145	C4-725TS-2011_Vietnam:BenTre_2011-07-25
KU888146	C4-739S-2012_Vietnam:BenTre_2012-08-27
KU888147	B5-744N-2013_Vietnam:BaRia_2013-12-22
KU888148	B5-746P-2013_Vietnam:AnGiang_2013-12-07
KU888149	C5-74TS-2008_Vietnam:KonTum_2008-06-15
KU888150	C5-75TS-2008_Vietnam:HoChiMinh_2008-06-15
KU888151	C4-774S-2012_Vietnam:AnGiang_2012-08-25
KU888152	C5-77S-2008_Vietnam:DakLak_2008-05-15
KU888153	C4-794TS-2011_Vietnam:BaRia_2011-07-28
KU888154	B5-805S-2012_Vietnam:AnGiang_2012-09-10
KU888155	C5-81TS-2011_Vietnam:BinhDuong_2011-05-23
KU888156	C4-82TS-2011_Vietnam:BinhDuong_2011-05-23
KU888157	C4-830TS-2011_Vietnam:HoChiMinh_2011-07-30
KU888158	B5-855S-2012_Vietnam:AnGiang_2012-09-24
KU888159	C4-885TS-2011_Vietnam:BinhPhuoc_2011-08-09
KU888160	C4-896TS-2011_Vietnam:AnGiang_2011-08-09
KU888161	C4-8S-2011_Vietnam:HoChiMinh_2011-03-17
KU888162	C4-8TS-2011_Vietnam:HoChiMinh_2011-03-17
KU888163	C4-90TS-2011_Vietnam:TienGiang_2011-05-25
KU888164	C4-910TS-2011_Vietnam:TienGiang_2011-08-07
KU888165	C4-912TS-2011_Vietnam:HoChiMinh_2011-08-08
KU888166	C4-913TS-2011_Vietnam:BinhDuong_2011-08-08
KU888167	C4-938S-2012_Vietnam:AnGiang_2012-09-29
KU888168	C5-94TS-2008_Vietnam:HoChiMinh_2008-06-15
KU888169	C4-94TS-2012_Vietnam:HoChiMinh_2011-12-30
KU888170	C4-950S-2012_Vietnam:AnGiang_2012-10-08
KU888171	C5-95TS-2008_Vietnam:HoChiMinh_2008-06-15
KU888172	C4-97TS-2012_Vietnam:LongAn_2011-12-31
KU888173	C5-97VS-2008_Vietnam:DongNai_2008-05-15
KU888174	C5-98TS-2008_Vietnam:HoChiMinh_2008-06-15
KU936120	SHAPHC5218/SH/CHN/14
KU936121	SHAPHC5251/SH/CHN/14
KU936122	SHAPHC5267/SH/CHN/14
KU936123	SHAPHC5271/SH/CHN/14
KU936124	SHAPHC5287/SH/CHN/14
KU936125	SHAPHC5307/SH/CHN/14
KU936126	SHAPHC5510/SH/CHN/14
KU936127	SHAPHC5589/SH/CHN/14
KU936128	SHAPHC5365/SH/CHN/14
KU936129	SHAPHC5427/SH/CHN/14
KU936130	SHAPHC5330/SH/CHN/14
KU936131	SHAPHC5432/SH/CHN/14
KU936132	SHAPHC5468/SH/CHN/14
KX092295	87-Irk-2011
KX092296	88-Irk-2011
KX139462	Jena 15-984
KX197414	HFM002
KX197415	HFM022
KX197416	HFM025
KX197417	HFM026
KX197418	HFM030
KX197419	HFM031
